,Expert,Institution
133,Arindrajit Dube,University of Massachusetts
134,Ethan Kaplan,Institute for International Economic Studies
135,George Shirley,University of Michigan
136,Heidi Steltzer,Fort Lewis College
137,Laurent Bouvet,University of Versailles St.
138,Van Kranendonk,University of New South Wales
139,J. William Schopf,University of California
140,Dominic Papineau,University College London
141,Dominic Papineau,University College London
142,Cathy Bradley,Virginia Commonwealth University
143,David Karoly,University of Melbourne
144,Kenneth Williams,University of Arkansas at Pine Bluff
145,Andrew Seely,Central Michigan University
146,Hank Nuwer,Franklin College
147,Li Weisen,Fudan University
148,Stephen   ,Cornell University
149,Geert Savelsbergh,University of Amsterdam
150,Stefania Vicaria,University of Leicester
151,Mustapha Kamel,Cairo University
152,Timothy McCarthy,Middlebury Institute of International Studies
153,Amy Zegart,Stanford University
154,Laurie Allen,University of Pennsylvania
155,James A. Jacobs,University of California
156,James R. Jacobs,Stanford University
157,Alastair Tanner,University of Bristol
158,John R. Bolton,Gatestone Institute
159,Michael Cohen,Pacific Institute
160,Barbara Reskin,University of Washington
161,Clemens Fuest,Ifo Institute
162,Jackson Janes,American Institute for Contemporary German Studies
163,Donald E. Brownlee,University of Washington
164,Martin D. Suttle,Imperial College
165,Elizabeth N. Saunders,George Washington University
166,Timur Kuran,Duke University
167,Fiona S. Cunningham,Massachusetts Institute of Technology
168,Wu Riqiang,Renmin University
169,Stephen Brown,University of Virginia
170,Huma Najmul Hassan,Institute
171,Faiza Mushtaq,Institute
172,Anthony D. Owens,Howard University
173,M. I. T.,New York University
174,M. I. T.,American University
175,N. C. A. N.,National College Access Network
176,Ramzi Kassem,City University of New York School of Law
177,Hailey Browne,University of Maine
178,Mark Bovens,Utrecht University
179,Bert Bakker,University of Amsterdam
180,Heather Cox Richardson,Boston College
181,David Greenberg,Rutgers University
182,Rachel Lithgow,Engels Institute
183,Narayana Kocherlakota,University of Rochester
184,Sheila Patek,Duke University
185,Justin Driver,University of Chicago
186,Marcus Noland,Peterson Institute for International Economics
187,Elena Kagan,University of Chicago
188,F. D. A.,National Institutes of Health
189,John D. Rockefeller,Rockefeller University
190,Joël Gombin,University of Picardy Jules Verne
191,Ian Thompson,University of Texas Health Science Center
192,Robert G. Edwards,University of Cambridge
193,Henry T. Greely,Stanford University
194,Reuben Saunders,Cambridge University
195,Lacey Rzeszowski,Rutgers University
196,Jeffrey Beall,University of Colorado
197,Rachel Borland,DLD College London
198,Nicholas Bagley,University of Michigan
199,Mark Siegler,University of Chicago
200,Donald Trump,Brown University
201,M. I. T.,Boston University
202,Leslie B. Kiernan,George Washington University
203,Eric Swensen,University of Virginia
204,Thomas Jefferson,University of Virginia
205,M. F. A.,University of Texas
206,H. T.,University of London
207,Joanna E. Burdette,Northwestern University
208,Sherri Simpson,Trump University
209,Richard Feinberg,Purdue University
210,William Gumede,University of Witwatersrand
211,Thomas Carr,Carthage College
212,Stephen Brusatte,University of Edinburgh
213,Thomas Richard Holtz,University of Maryland
214,Lawrence M. Witmer,Heritage College of Osteopathic Medicine
215,Kurt Weyland,University of Texas
216,Tom Pepinsky,Cornell University
217,Steve Steinberg,University of Nebraska
218,John Florio,University of Nebraska
219,Mark Kingwell,University of Toronto
220,Joshua Huder,Government Affairs Institute
221,Roman Lunkin,Institute of Religion and Law
222,N. C.,Catawba College
223,Barbara Fredrickson,University of North Carolina
224,Barbara Perry,University of Ontario Institute of Technology
225,Eve Warburton,Australian National University
226,Jake Rosenfeld,Washington University
227,Steven Barnett,National Institute for Early Education Research at Rutgers
228,Matthew Manning,Australian National University
229,Ilya Shapiro,Cato Institute
230,David Harris,University of Pittsburgh
231,Brigham Young,Brigham Young University
232,Lilia Cortina,University of Michigan
233,Jennifer Berdahl,University of British Columbia Sauder School of Business
234,Daron Acemoglu,Massachusetts Institute of Technology
235,David Dorn,University of Zurich
236,Lisa McGirr,Harvard University
237,Leo Ribuffo,George Washington University
238,Jefferson Cowie,Vanderbilt University
239,Patrick Monien,Bremen University
240,Bear Bryant,University of Alabama
241,Worcester Polytech,Worcester Polytechnic Institute
242,Worcester Polytech,Northeastern University
243,Stanislav Smirnov,University of Geneva
244,Frances Lee,University of Maryland
245,Lilliana Mason,University of Maryland
246,Leonie Huddy,Stony Brook University
247,Lene Aaroe,Aarhus University
248,Kevin Volpp,University of Pennsylvania
249,Thaddeus Pope,Health Law Institute
250,Vitamin D,Institute of Medicine
251,Thomas R. Murphy,Seattle University
252,Reid Hoffman,University of Southern California
253,David Birdsell,Baruch College School of Public Affairs
254,Paulo Sotero,Brazil Institute
255,São Paulo,Pontifical Catholic University
256,São Paulo,University of São Paulo
257,Eric Posner,University of Chicago Law School
258,Luigi Boitani,La Sapienza University of Rome
259,Adam Boyko,Cornell University College of Veterinary Medicine
260,Mark Brewer,University of Maine
261,Aakash Malhotra,University of Georgia
262,A. E. Dick Howard,University of Virginia School of Law
263,Kirk Heilbrun,Drexel University
264,Barbara Risman,University of Illinois at Chicago
265,David Dorn,University of Zurich
266,Andrea Constand,Temple University
267,Bobby Knight,Indiana University
268,Jennifer Laird,University of Washington
269,Roderick Harrison,Howard University
270,Paul Thompson,Royal College
271,São Paulo,Mackenzie Presbyterian University
272,Andrew Bolton,Costume Institute
273,Daniel Silverstein,Fashion Institute of Technology
274,Gil Troy,McGill University
275,Chelsea Clinton,Stanford University
276,George W. Bush,Yale University
277,Mark P. Jones,Baker Institute
278,Robert N. Taub,Columbia University
279,Samuel Preston,University of Pennsylvania
280,Sam Harper,McGill University
281,Michael Light,Purdue University
282,Cole Bunzel,Princeton University
283,Lady Margaret Hall,University of Oxford
284,Lady Margaret Hall,University of Oxford
285,Vincent DeGeorge,Carnegie Mellon University
286,Christina Greer,Fordham University
287,Geena Davis,Geena Davis Institute on Gender in Media
288,George Mason,George Mason University
289,Adam Winkler,University of California
290,F. D. A.,New York University
291,Andrew V. Papachristos,Yale University
292,Film Munich,University of Television
293,Stanley Payne,University of  
294,Roger Eatwell,University of Bath
295,Townsend Harris,City College
296,Anais McAllister,City College
297,Robert Farrell,Lehman College
298,Joseph Garcia,Morrison Institute Latino Public Policy Center
299,James Grimmelmann,University of Maryland
300,Bessie Kopelov,Northwestern University
301,David H. Mould,Ohio University
302,Laszlo Krasznahorkai,University of Chicago
303,Craig B. Futterman,University of Chicago
304,Jonas Salk,City College
305,Crying Jordaned,University of North Carolina
306,Limor Shifman,Hebrew University of Jerusalem
307,Joshua Tucker,New York University
308,Catherine Hobaiter,St. Andrews University
309,Barbara Smuts,University of Michigan
310,Peter Singer,Princeton University
311,David Watts,Yale University
312,de Waal,Frans de Waal of Emory University
313,Brock Turner,Stanford University
314,John Paparrizos,Columbia University
315,Malcolm Perry,Cambridge University
316,Juan Maldacena,Institute for Advanced Study
317,van den,University of Wollongong
318,Richard Roberts,University of Wollongong
319,Karen L. Baab,Midwestern University
320,Celso Granato,Federal University of São Paulo
321,C. T. E.,Boston University
322,Jerry Falwell Jr.,Liberty University
323,Daniel Fetter,Wellesley College
324,James D. Cox,Duke University Law School
325,Hillary Clinton,American Enterprise Institute
326,N. H.,St. Anselm College
327,Elizabeth Holmes,Stanford University
328,Heidi Li Feldman,Georgetown University Law School
329,Andrew Levin,Dartmouth College
330,Jon Faust,Johns Hopkins University
331,Justin Driver,University of Chicago
332,Heather Antecol,Claremont McKenna College
333,Kelly Bedard,University of California
334,Shelly Lundberg,University of California
335,Jerry Falwell,Liberty University
336,Louis Fishman,Brooklyn College
337,Katrina Karkazis,Stanford University
338,James Shapiro,Columbia University
339,Nigel Ramsay,University College London
340,Nigel Ramsay,University College London
341,Ralph Brooke,College of Arms
342,Vikram Amar,University of Illinois College of Law
343,Kevin Quinn,Washington University
344,Mark Blyth,Brown University
345,Faraaz Hossain,Oxford College
346,Magali Ballatore,University of   
347,Frank Giarratani,University of Pittsburgh
348,Larry Compeau,Clarkson University
349,Bullingdon Club,Eton College
350,Beau Solomon,University of   
351,Beau Solomon,John Cabot University
352,Rebecca Blank,University of   
353,Paul Bierman,University of Vermont
354,Leaf Van Boven,University of Colorado
355,Michelle Gielan,Institute for Applied Positive Research
356,Virginia Woolf,Oxford University
357,Ernestine Tucker,University of Alabama
358,Cheryl Brown,University of California
359,Trey Jemmott,University of Nevada
360,Ryan Calo,University of Washington
361,Stefan Dercon,Oxford University
362,Riccardo Amirante,Politecnico University
363,Robert Dujarric,Institute of Contemporary Asian Studies
364,Leslie Lenkowsky,Indiana University
365,Jonathan Petropoulos,Claremont McKenna College
366,Myron Orfield,University of Minnesota
367,Michelle Girvan,University of Maryland
368,Matthew F. Glasser,Washington University School of Medicine
369,Van Essen,University of Pennsylvania
370,Francis S. Collins,National Institutes of Health
371,Paul Musgrave,University of Massachusetts
372,William Inboden,University of Texas
373,John Timmerman,University of California
374,M. D. Anderson,University of Texas M. D. Anderson Cancer Center
375,Charles Freehof,Brooklyn College
376,Jacqui Reilly,Glasgow Caledonian University
377,Carl H. June,University of Pennsylvania
378,Stevie Wonder,National Cancer Institute
379,Dario Campana,National Cancer Institute
380,Penn Kite Pharma,National Cancer Institute
381,Karen Shollenberger,Drexel University
382,Brian Christman,Vanderbilt University
383,M. I. T.,University of California
384,M. I. T.,University of California
385,David Amaral,MIND Institute
386,Scott Kleinheksel,Claremont McKenna College
387,Chris Urmson,Carnegie Mellon University
388,James Beacham,Ohio State University
389,Kyle Cranmer,New York University
390,Michael Turner,University of Chicago
391,Dave Charlton,University of Birmingham
392,Lawrence Krauss,Arizona State University
393,Maria Spiropulu,California Institute of Technology
394,Robert J. Gordon,Northwestern University
395,Ana Paula,Neymar Jr. Institute
396,Judy Mayka Stecker,American Enterprise Institute
397,Robert M. McDowell,Hudson Institute
398,Chris Gordon,Duke University
399,Douglas Ziedonis,University of Massachusetts
400,Mark Sample,Davidson College
401,Brigham Young,Brigham Young University
402,Greg Meehan,Stanford University
403,Greg Meehan,Stanford University
404,Roshen D. Seyfulla,Institute for Physical Culture
405,Verena Schoepf,University of Western Australia
406,J. Marshall Shepherd,University of Georgia
407,David Neumark,University of California at Irvine
408,Craig B. Futterman,University of Chicago
409,Mark Galeotti,New York University
410,Philip Tedeschi,University of Denver
411,Michael J. Gerhardt,University of North Carolina
412,Rob Natelson,University of Montana
413,M. I. T. Columbia,University of Chicago
414,John Sides,The George Washington University
415,Massimo Cocco,National Institute of Geophysics and Volcanology
416,Michael Endl,University of Texas
417,Jacob Olidort,Washington Institute for Near East Policy
418,Sidney Jones,Institute for Policy Analysis of Conflict
419,Michael S. Roth,Wesleyan University
420,Jeremy Manier,University of Chicago
421,Geoffrey R. Stone,University of Chicago
422,Sergio Lagomarsino,University of Genoa
423,Deirdre Clemente,University of Nevada
424,James Stewart,Trinity College
425,Robert A. Pape,University of Chicago
426,Liza Lovdahl Gormsen,British Institute of International and Comparative Law
427,Hanan Ashrawi,Hebrew University
428,Allen P. Nutman,University of Wollongong
429,J. P. Morgan,New York University
430,Dru Gladney,Pomona College
431,Scott C. Weaver,Institute for Human Infections and Immunity
432,Dennis vanEngelsdorp,University of Maryland
433,Andrea Dutton,University of Florida
434,Jin Xiangrong,Zhejiang University
435,Mark Clague,University of Michigan
436,Altaf Husain,Howard University
437,Gérard Grunberg,Institute of Political Studies
438,Bruce G. Blair,Princeton University
439,Robert Rauschenberg,Black Mountain College
440,Yael Niv,Princeton University
441,John I. Jenkins,University of Notre Dame
442,Victor Cha,Georgetown University
443,Peter Kreko,Political Capital Institute
444,Douglas Brinkley,Rice University
445,Lee Badgett,University of   
446,Elise Gould,Economic Policy Institute
447,Scott Winship,Manhattan Institute
448,Dani Qappani,Damascus University
449,a B. M. I. of,Blood Institute
450,N. C.,Catawba College
451,Kevin Hall,National Institute of Diabetes and
452,Yoni Freedhoff,University of Ottawa
453,Barbara Rothbaum,Emory University
454,Robert Lindquist,University of Connecticut
455,Todd Silverman,University of Pennsylvania
456,Richard Janko,University of Michigan
457,Jan De Kinder,National Institute of Forensics and Criminology
458,Gene Nichol,University of North Carolina
459,George Washington,George Washington University
460,George Washington,George Washington University
461,Grayson Sessa,University of Pennsylvania
462,Karis Lockhart,University of Central Florida
463,Tennessee State,Tennessee State University
464,Andrea Constand,Temple University
465,Paul Wood,University of Pittsburgh Medical Center
466,R. I.,Pembroke College
467,Christopher Bryan,University of Chicago Booth School of Business
468,David Yeager,University of Texas
469,David Strauss,University of Chicago
470,Richard A. Posner,University of Chicago
471,Gary May,University of Delaware
472,Samantha Brennan,Western University
473,Ronald J. Krotoszynski Jr.,University of Alabama School of Law
474,Chelsea Clinton,Hofstra University
475,James P. Allison,University of Texas M. D. Anderson Cancer
476,Gordon J. Freeman,Cancer Institute
477,Tasuku Honjo,Cancer Institute
478,Rodeph Sholom,Reconstructionist Rabbinical College
479,Michael Bolte,University of California
480,J. Kehaulani Kauanui,Wesleyan University
481,Bob McClaren,University of Hawaii
482,Michael Marsh,Trinity College Dublin
483,David J. Thouless,University of Washington
484,F. Duncan M. Haldane,Princeton University
485,J. Michael Kosterlitz,Princeton University
486,Michael S. Turner,University of Chicago
487,Elaine Showalter,Princeton University
488,Paul Johnson,Institute for Fiscal Studies
489,Winifred Tate,Colby College
490,Nazih Richani,Kean University
491,Patrick Bolton,Columbia University
492,Katherine Porterfield,New York University
493,Richard D. Pomp,University of Connecticut School of Law
494,David M. Glantz,Kennan Institute
495,Ramon C. Casiple,Institute for Political and Electoral Reform
496,Michael Knights,Washington Institute for Near East Policy
497,King Bhumibol,Chulalongkorn University
498,Brock Turner,Stanford University
499,Ken Menkhaus,Davidson College
500,Lorettann Gascard,Franklin Pierce University
501,N. J.,Fairleigh Dickinson University
502,Franklin Pierce,Free University
503,Andrew Reynolds,University of North Carolina
504,Julie Valentine,College of Nursing
505,the F. B. I.,Marquette University
506,Stephen Gillers,New York University School of Law
507,Fiona Marshall,Washington University
508,N. Y.,Cornell University
509,Johnson State,Johnson State College
510,Allan E. Goodman,Institute for International Education
511,p. m.,Arizona State University
512,Simon Young,University of Hong Kong
513,Donald R. Lehmann,Columbia University
514,Steven D. Levitt,University of Chicago
515,Debora Spar,Barnard College of Columbia University
516,U. C. Berkeley,University of Chicago
517,Simon Young,University of Hong Kong
518,Mark P. Leone,University of Maryland
519,Hornbake Library,University of Maryland
520,Ilya Shapiro,Cato Institute
521,Der Spiegel,Technical University of Dortmund
522,Abubakar Kari,University of Abuja
523,Myron Ebell,Competitive Enterprise Institute
524,Andrew Jackson,Newcastle University
525,David Borton,Brown University
526,N. C.,Catawba College
527,William Howell,University of Chicago
528,Abdullah Antepli,Duke University
529,Barry D. Bruce,University of Tennessee
530,Michael J. Rosenfeld,Stanford University
531,Haskell Karp,Texas Heart Institute
532,Barney B. Clark,University of Utah
533,Thomas J. Pyle,Institute for Energy Research
534,Toby Matthiesen,Oxford University
535,N. Y.,Adelphi University
536,Andy Tsay,Santa Clara University
537,Fu Hualing,University of Hong Kong
538,Jerome A. Cohen,New York University
539,Namita Devidayal,Cornell University
540,Ramanan Laxminarayan,Princeton University
541,Ronald Inglehart,University of Michigan
542,Nicholas Stephanopoulos,University of Chicago
543,Samuel Preston,University of Pennsylvania
544,Richard Hodes,National Institute on Aging
545,N. Y. U. ’s,Washington Square College
546,Edward Tomasso,Babson College
547,Simon Schama,Oxford University
548,Elizabeth Hinton,Harvard University
549,Robert J. Gordon,Princeton University
550,Robert M. Chesney,University of Texas School of Law
551,Adil E. Shamoo,University of Maryland School of Medicine
552,Leonard Rubenstein,Berman Institute for Bioethics
553,Tony Gwynn,Stanford University
554,Craig Stone,Ohio State University
555,David D. Cole,Georgetown University
556,Robert Stavins,Harvard University
557,Geoffrey Alpert,University of South Carolina
558,Myron Ebell,Competitive Enterprise Institute
559,U Aung Thu Nyein,Institute for Strategy and Policy
560,Pamela S. Karlan,Stanford University
561,Jane Kauer,University of Pennsylvania
562,Bill Montevecchi,Memorial University of Newfoundland
563,N. J.,Drew University
564,Brendesha Tynes,University of Southern California
565,David Dennis Jr.,Morehouse College
566,Austan Goolsbee,University of Chicago
567,Pawel Spiewak,University of Warsaw
568,Jaroslaw Fils,Jagiellonian University
569,Travis Hough,Laney College
570,Fredrick M. Wigley,Johns Hopkins University School of Medicine
571,Massoud Rahimi,Kabul University
572,Cory Portnuff,University of Colorado Hospital
573,Jim Battey,National Institute on Deafness and Other Communication Disorders
574,Carl H. June,University of Pennsylvania
575,Amanda Delekta,University of Michigan
576,Biddy Martin,Amherst College
577,Celene Ibrahim,Tufts University
578,Ricardo Vazquez,University of California
579,Ricardo Vazquez,Public Policy Institute
580,Cal State,University of California
581,Cal State,University of California
582,Noah Reid,University of Connecticut
583,James Stewart,Trinity College
584,Thomas J. Moore,Institute for Safe Medication Practices
585,John Taylor,Stanford University
586,John Crassidis,University at Buffalo
587,Mariana Cabral,Federal University of Minas Gerais
588,Amanda Frost,Washington College of Law
589,Paul Nolette,Marquette University
590,David Egan,Clemson University
591,Mark Galeotti,Institute of International Relations
592,Gabriela González,Louisiana State University
593,Szabolcs Marka,Columbia University
594,Kip Thorne,California Institute of Technology
595,Ronald Drever,Massachusetts Institute of Technology
596,Janna Levin,Barnard College
597,Joseph Weber,University of Maryland
598,Russell A. Hulse,University of Massachusetts Amherst
599,Vicky Kalogera,Northwestern University
600,Michael S. Turner,University of Chicago
601,Brian Wansink,Cornell University
602,Kurt Hemmer,Harper College
603,Rebecca Tushnet,Georgetown University Law Center
604,Laurence Steinberg,Temple University
605,Richard Painter,University of Minnesota
606,Anthony S. Fauci,National Institute for Allergy and Infectious Diseases
607,Ann Zwicker,Occidental College
608,John Tarduno,University of Rochester
609,Julia Clarke,University of Texas
610,Ekene Enemchukwu,Stanford University Medical Center
611,Laura Ingraham,Electoral College
612,Jan Piercy,Wellesley College
613,John Jay,John Jay College of Criminal Justice
614,Sandra Faber,University of California
615,Margaret Burbidge,University of California
616,Maria Mitchell,Vassar College
617,N. Y.,Marist College
618,Silvia Baraldini,Columbia University
619,Jeffrey Beall,University of Colorado Denver
620,W. C. S. N. E.,Temple University
621,Barba Patton,University of   
622,São Paulo,University of São Paulo
623,Van Hollen,Monmouth University
624,Timothy Slaper,Indiana University
625,Gil Troy,McGill University
626,Anna Wintour,Costume Institute
627,George Lucas,University of California
628,Kidney Diseases,National Cancer Institute
629,Kidney Diseases,National Institute on Aging
630,Steven Austad,University of Alabama
631,Ross Eisenbrey,Economic Policy Institute
632,Daniel Hamermesh,Institute for Study of Labor
633,Erin Clark,Brandeis University
634,Antonin Scalia,University of Michigan
635,David Rudovsky,University of Pennsylvania Law School
636,Robert Ursano,Uniformed Services University of Health Sciences
637,Richard Tedeschi,University of North Carolina
638,Ronald Schnackenberg,Trump University
639,Jason Nicholas,Trump University
640,Sam Harper,McGill University
641,Steven Lubet,Northwestern University
642,Michael McDonald,University of Florida
643,Hillary Clinton,Youngstown State University
644,Gary Susswein,University of Texas
645,E. Ann McGee,Seminole State College
646,Michael S. Dukakis,Saint Louis University School of Law
647,Eric Foner,Columbia University
648,Martha Hodes,New York University
649,Simon Henderson,Washington Institute
650,Chavez Academy,Saginaw Valley State University
651,Susan G. Parker,Trump Institute
652,Dawn Johnsen,Indiana University
653,William Yeomans,American University School of Law
654,Aykan Erdemir,Washington Institute for Near East Policy
655,Becky Uline,Bowling Green State University
656,Rolf Pendall,Urban Institute
657,Jimmy Allen,Drexel University
658,Sarah Osterhoudt,Indiana University
659,Carl Tobias,University of Richmond
660,Michael Allison,University of Scranton
661,Jason Healey,Columbia University
662,Marcos Ferreira,Federal University of Paraíba
663,Richard Wagner,Florida State University
664,Janine Barchas,University of Texas
665,Barnett Kramer,Cancer Institute
666,Julius Nielsen,University of Copenhagen
667,Ramon Casiple,Institute for Political and Electoral Reform
668,David Skeel,University of Pennsylvania Law School
669,Peter Schweizer,Government Accountability Institute
670,Rebecca Liebman,Clark University
671,Philip Alston,New York University
672,Jon Kingsdale,Boston University School of Public Health
673,Barbara F. Walter,University of California
674,Reed M. Wood,Arizona State University
675,Jacob D. Kathman,State University of New York at Buffalo
676,Stephen E. Gent,University of North Carolina
677,Erik Brynjolfsson,Massachusetts Institute of Technology
678,I. T. F.,National Sports College
679,Tooru Miyamoto,National Graduate Institute for Policy Studies
680,Gadi Wolfsfeld,Hebrew University
681,Alexander Panov,Lomonosov Moscow State University
682,Frank Drake,University of California
683,Jill Tarter,SETI Institute
684,Robert E. Hart,Florida State University
685,Mark P. Guishard,Bermuda Institute of Ocean Sciences
686,Roger Southall,University of Witwatersrand
687,Ilona Babenko,Arizona State University
688,Song Zhang,Arizona State University
689,Song Zhang,University of Lugano
690,Brian Richter,University of Texas
691,Richard Larson,Massachusetts Institute of Technology
692,Masha Shunko,University of Washington
693,Yaroslav Rosokha,Purdue University
694,Daniel Kahneman,Princeton University
695,Nahoko Tokuyama,Primate Research Institute
696,Amy Parish,University of Southern California
697,Joan Silk,Arizona State University
698,Liza Moscovice,Max Planck Institute for Evolutionary Anthropology
699,Frances White,University of Oregon
700,Eric Garner,The University of Missouri
701,David Chandler,Monash University
702,Janet Napolitano,University of California
703,Cori Bargmann,Rockefeller University
704,Geena Davis,Geena Davis Institute on Gender
705,Mark Dorosin,University of North Carolina Center for Civil Rights
706,Jerry Falwell,Liberty University
707,Scott Kahan,Georgetown University
708,Richard Rosenfeld,University of  
709,Justin Driver,University of Chicago
710,Geoffrey Stone,University of Chicago
711,Sebastian Heilmann,Mercator Institute for China Studies
712,N. J. “,Fairleigh Dickinson University
713,Jeanette Cueva,Columbia University
714,James Tong,University of California
715,Marc Lamont Hill,Morehouse College
716,Ralph Reed,Liberty University
717,Martha Farah,University of Pennsylvania
718,Nora Volkow,National Institute on Drug Abuse
719,Gene Nichol,University of North Carolina
720,Ubol Ratana,Massachusetts Institute of Technology
721,Chapel Hill,University of North Carolina
722,David A. Harris,University of Pittsburgh School of Law
723,Brian Hare,Duke University
724,Alec Haley,New York University
725,Daniel A. Smith,University of Florida
726,Eric Cheung,University of Hong Kong
727,Simon Young,University of Hong Kong
728,David Boies,Electoral College
729,Gary L. Gregg II,Electoral College
730,Katherine J. Cramer,The University of Wisconsin
731,G. M.,Manhattan Institute
732,Nicole Hallett,University at Buffalo
733,Ajay Shah,National Institute of Public Finance
734,Michael Kazin,Georgetown University
735,Gary Gerstle,University of Cambridge
736,Patrick Bédard,Brown University
737,p. m.,Columbia University
738,Melissa Hart,University of Colorado Law School
739,James Madison,Electoral College
740,Jeff Jarvis,City University of New York
741,Van Dongen,Washington State University
742,David Jackson,Bowling Green State University
743,Sutee Yoksan,Mahidol University
744,Steven N. Kaplan,University of Chicago Booth School of Business
745,George Evans Hardy,Oberlin College
746,Rick Su,University at Buffalo
747,Deborah E. Lipstadt,Emory University
748,Daniel Shalev,New York State Psychiatric Institute
749,Gabriel Zucman,University of California
750,Greg Autry,University of Southern California
