URL,Expert,Institution
https://www.wired.com/story/dial-up-imran-ahmed/,Angela Watercutter,N/A
https://www.wired.com/story/dial-up-imran-ahmed/,Paresh Dave,N/A
https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7dad1a49-5fbe-42a0-bd24-98ed5e239755,N/A,N/A
https://www.wired.com/story/pooping-on-the-moon-is-a-messy-business/,David Munns,"John Jay College, City University of New York"
https://www.wired.com/story/pooping-on-the-moon-is-a-messy-business/,Kärin Nickelsen,Ludwig Maximilian University of Munich
https://www.wired.com/story/pooping-on-the-moon-is-a-messy-business/,Michael Rapley,NASA’s Johnson Space Center
https://www.wired.com/story/pooping-on-the-moon-is-a-messy-business/,Riccardo Piccolo,"No specific institution mentioned, but listed as the author of an article ""Why Paris 2024 Olympic Athletes Are Sleeping on Cardboard Beds"""
https://www.wired.com/story/pooping-on-the-moon-is-a-messy-business/,Dhruv Mehrotra,"No specific institution mentioned, but listed as the author of an article ""J.D. Vance Left His Venmo Public. Here’s What It Shows"""
https://www.wired.com/story/pooping-on-the-moon-is-a-messy-business/,Angela Watercutter,"No specific institution mentioned, but listed as the author of an article ""The 29 Best Shows on Apple TV+ Right Now"""
https://www.wired.com/story/pooping-on-the-moon-is-a-messy-business/,Paresh Dave,"No specific institution mentioned, but listed as the author of an article ""Here’s What Happens When You Give People Free Money"""
https://www.businessinsider.com/biden-trump-climate-policies-ev-subsidies-renewables-fossil-fuel-drilling-2024-7,Maibach,N/A (Only Last name is mentioned)
https://www.businessinsider.com/biden-trump-climate-policies-ev-subsidies-renewables-fossil-fuel-drilling-2024-7,Alec Tyson,Pew Research Center
https://www.npr.org/2024/07/08/nx-s1-5032616/june-13th-straight-monthly-heat-record-climate-warming,Nicolas Nicolas,(no institution mentioned)
https://www.npr.org/2024/07/08/nx-s1-5032616/june-13th-straight-monthly-heat-record-climate-warming,Julien Julien,Copernicus
https://www.npr.org/2024/07/08/nx-s1-5032616/june-13th-straight-monthly-heat-record-climate-warming,Tianle Yuan,NASA and University of Maryland Baltimore Campus
https://www.npr.org/2024/07/08/nx-s1-5032616/june-13th-straight-monthly-heat-record-climate-warming,Zeke Hausfather,Stripes and Berkeley Earth climate-monitoring group
https://www.npr.org/2024/07/08/nx-s1-5032616/june-13th-straight-monthly-heat-record-climate-warming,Andrew Weaver,University of Victoria
https://www.npr.org/2024/07/08/nx-s1-5032616/june-13th-straight-monthly-heat-record-climate-warming,Andrea Dutton,University of Wisconsin
https://www.theverge.com/24188803/best-tech-reads-articles-books,Jay Peters,The Verge
https://www.theverge.com/24188803/best-tech-reads-articles-books,Wes Davis,The Verge
https://www.theverge.com/24188803/best-tech-reads-articles-books,Dennis Yi Tenen,Microsoft/ Literature Professor
https://www.theverge.com/24188803/best-tech-reads-articles-books,Kevin Nguyen,The Verge
https://www.theverge.com/24188803/best-tech-reads-articles-books,Joanna Nelius,The Verge
https://www.theverge.com/24188803/best-tech-reads-articles-books,Andrew Chow,Time Magazine
https://www.theverge.com/24188803/best-tech-reads-articles-books,David Pierce,The Verge
https://smartwatermagazine.com/news/university-california-riverside/climate-change-shift-tropical-rains-northward-suggests-computer,No specific expert name is mentioned,"No specific institution is mentioned other than iAgua Conocimiento, SL which seems to be the organization sending newsletters."
https://www.businessinsider.com/lauren-sanchez-jeff-bezos-earth-fund-philanthropy-2024-7,Eva Longoria,Elle Women In Hollywood celebration
https://www.businessinsider.com/lauren-sanchez-jeff-bezos-earth-fund-philanthropy-2024-7,Lauren Sánchez,Bezos Earth Fund
https://www.businessinsider.com/lauren-sanchez-jeff-bezos-earth-fund-philanthropy-2024-7,Jeff Bezos,Amazon and Bezos Earth Fund
https://www.businessinsider.com/lauren-sanchez-jeff-bezos-earth-fund-philanthropy-2024-7,Robin L Marshall,Getty Images
https://www.businessinsider.com/lauren-sanchez-jeff-bezos-earth-fund-philanthropy-2024-7,Cindy Ord,MG24/Getty Images
https://www.bbc.com/news/articles/cmj277pmpd1o,David Braine,BBC South West
https://www.theatlantic.com/science/archive/2024/07/climate-push-alert-emergency-warning/678936/?utm_source=feed,Zoë Schlanger,The Atlantic
https://www.theatlantic.com/science/archive/2024/07/climate-push-alert-emergency-warning/678936/?utm_source=feed,Jeannette Sutton,University at Albany’s College of Emergency Preparedness
https://www.theatlantic.com/science/archive/2024/07/climate-push-alert-emergency-warning/678936/?utm_source=feed,Chris Maier,National Weather Service
https://time.com/6996467/jim-inhofe-dies-obituary/,Dr. Perry Dyson Inhofe II,"No institution name is provided for Dr. Perry Dyson Inhofe II, however it is mentioned that he was an Army veteran and licensed pilot."
https://time.com/6996467/jim-inhofe-dies-obituary/,Sen. James Inhofe,United States Senate
https://time.com/6996467/jim-inhofe-dies-obituary/,President Donald Trump,The White House
https://time.com/6996467/jim-inhofe-dies-obituary/,Sen. John McCain,United States Senate
https://www.scientificamerican.com/article/the-gas-industry-is-gaslighting-the-public-about-climate-change/,Darren Woods,ExxonMobil
https://www.scientificamerican.com/article/the-gas-industry-is-gaslighting-the-public-about-climate-change/,Naomi Oreskes,Harvard University
https://abcnews.go.com/Politics/biden-trump-climate-environmental-policy-addressed-debate/story?id=111416347,Manish Bapna,Natural Resources Defense Council (NRDC) Action Fund
https://abcnews.go.com/Politics/biden-trump-climate-environmental-policy-addressed-debate/story?id=111416347,Ben Edgerly Walsh,Vermont Public Interest Research Group
https://abcnews.go.com/Politics/biden-trump-climate-environmental-policy-addressed-debate/story?id=111416347,Alys Campaigne,Southern Environmental Law Center
https://www.sciencedaily.com/releases/2024/07/240709184224.htm,Laughlin,No institution listed
https://www.npr.org/2024/07/03/nx-s1-5027778/hurricane-beryl-jamaica-damage-carribean,Michael Brennan,National Hurricane Center (NHC)
https://www.npr.org/2024/07/03/nx-s1-5027778/hurricane-beryl-jamaica-damage-carribean,Andrew Holness,Jamaican Government
https://www.npr.org/2024/07/03/nx-s1-5027778/hurricane-beryl-jamaica-damage-carribean,Joe Raedle,Getty Images
https://time.com/6993383/trump-biden-climate-change-debate/,Justin Worland,TIME
https://www.npr.org/2024/07/23/nx-s1-5046808/heres-how-4-billion-in-government-money-is-being-spent-to-reduce-climate-pollution,Jaglom-Kurtz,EPA Office of Air Quality Planning and Standards
https://www.npr.org/2024/07/23/nx-s1-5046808/heres-how-4-billion-in-government-money-is-being-spent-to-reduce-climate-pollution,Cara Serra,Tampa Bay Regional Planning Council
https://www.npr.org/2024/07/23/nx-s1-5046808/heres-how-4-billion-in-government-money-is-being-spent-to-reduce-climate-pollution,Drew Veysey,Rocky Mountain Institute (RMI)
https://www.businessinsider.com/what-are-kamala-harris-policy-stances-issues-2024-7,Sen. Bernie Sanders,Senator from Vermont
https://www.businessinsider.com/what-are-kamala-harris-policy-stances-issues-2024-7,Kamala Harris,US Vice President under Joe Biden
https://www.businessinsider.com/what-are-kamala-harris-policy-stances-issues-2024-7,Alejandro Giammattei,President of Guatemala (former)
https://www.bbc.com/news/articles/cqe6773r0ndo,Clarisse Loughrey,The Independent
https://www.bbc.com/news/articles/cqe6773r0ndo,Owen Gleiberman,Variety
https://www.bbc.com/news/articles/cqe6773r0ndo,Peter Bradshaw,The Guardian
https://www.bbc.com/news/articles/ce98l84mrmqo,Ajinkya Rahane,Leicestershire cricket team
https://www.businessinsider.com/scotus-chevron-doctrine-bidens-climate-policies-at-risk-2024-6,David Doniger,Natural Resources Defense Council
https://www.businessinsider.com/scotus-chevron-doctrine-bidens-climate-policies-at-risk-2024-6,Paul DeCamp,Epstein Becker Green
https://gizmodo.com/republicans-project-2025-would-end-free-weather-reports-2000475779,Steven R. Smith,AccuWeather
https://www.bbc.com/news/articles/c98qp79gj4no,Prof Bentley,Natural Environment Research Council
https://www.bbc.com/news/articles/c98qp79gj4no,Dr Ramit Debnath,University of Cambridge
https://grist.org/politics/these-supreme-court-decisions-just-made-it-harder-to-solve-climate-change/,Sam Sankar,Earthjustice
https://grist.org/politics/these-supreme-court-decisions-just-made-it-harder-to-solve-climate-change/,Burger,No institution specified in the text snippet
https://grist.org/politics/these-supreme-court-decisions-just-made-it-harder-to-solve-climate-change/,Elena Kagan,US Supreme Court (Justice)
https://grist.org/politics/these-supreme-court-decisions-just-made-it-harder-to-solve-climate-change/,Ketanji Brown Jackson,US Supreme Court (Justice)
https://www.sciencedaily.com/releases/2024/07/240723123353.htm,Nathalie Pettorelli,ZSL's Institute of Zoology
https://shojiwax.com/2024/01/28/another-climate-truth-bomb/comment-page-1/#comments,Sabine Hossenfelder,None mentioned in the article ( YouTube channel )
https://shojiwax.com/2024/01/28/another-climate-truth-bomb/comment-page-1/#comments,Lewis,None mentioned in the article ( commenter )
https://shojiwax.com/2024/01/28/another-climate-truth-bomb/comment-page-1/#comments,MWT,None mentioned in the article ( commenter )
https://shojiwax.com/2024/01/28/another-climate-truth-bomb/comment-page-1/#comments,Dave Spector,None mentioned in the article ( commenter )
https://shojiwax.com/2024/01/28/another-climate-truth-bomb/comment-page-1/#comments,Karl,None mentioned in the article ( commenter )
https://yro.slashdot.org/story/24/07/09/2233206/oregon-county-seeks-to-hold-fossil-fuel-companies-accountable-for-extreme-heat,Dr. Peter Gleick,Pacific Institute
https://yro.slashdot.org/story/24/07/09/2233206/oregon-county-seeks-to-hold-fossil-fuel-companies-accountable-for-extreme-heat,Professor Michael Gerrard,Columbia Law School
https://www.sciencedaily.com/releases/2024/07/240708101020.htm,Shunsuke Managi,Kyushu University's Faculty of Engineering
https://www.sciencedaily.com/releases/2024/07/240708101020.htm,Alexander Ryota Keeley,Kyushu University's Faculty of Engineering
https://www.sciencedaily.com/releases/2024/07/240708101020.htm,Hidemichi Fujii,Kyushu University's Faculty of Economics
https://www.npr.org/2024/06/28/nx-s1-5022816/tractor-supply-dei-climate-backlash,Frank Dobbin,Harvard University
https://grist.org/politics/biden-trump-presidential-debate-climate-change-question-cnn-tapper-bash/,Jeff Goodell,Author of The Heat Will Kill You First
https://grist.org/politics/biden-trump-presidential-debate-climate-change-question-cnn-tapper-bash/,Nicholas Kristof,New York Times opinion columnist
https://www.bbc.com/news/articles/c04783n9x94o,Rikke Holm Petersen,Copenhagen Tourist Board
https://www.bbc.com/news/articles/c04783n9x94o,Othy Jasper,None (private individual)
https://thenextweb.com/news/supercritical-launches-world-first-live-pricing-availability-biochar-carbon-removal,Martin Farley,N/A - Not Mentioned in the text
https://thenextweb.com/news/supercritical-launches-world-first-live-pricing-availability-biochar-carbon-removal,Linnea Ahlgren,The Next Web (TNW)
https://thenextweb.com/news/supercritical-launches-world-first-live-pricing-availability-biochar-carbon-removal,Michelle You,Supercritical
https://thenextweb.com/news/supercritical-launches-world-first-live-pricing-availability-biochar-carbon-removal,Aaron Randall,Supercritical
https://markets.businessinsider.com/news/bonds/jamaica-hurricane-beryl-catastrophe-bonds-climate-disaster-natural-damage-investing-2024-7,Filip De Mott,Business Insider
https://kottke.org/24/06/0044857-explore-present-and-futur,Jason Kottke,kottke.org
https://www.npr.org/2024/06/28/g-s1-5121/lebanon-ancient-amber-cretaceous-dinosaurs-flowers,Dany Azar,American University of Beirut
https://www.npr.org/2024/06/28/g-s1-5121/lebanon-ancient-amber-cretaceous-dinosaurs-flowers,Marina Hakim,no institution listed in the text snippet provided
https://www.npr.org/2024/06/28/g-s1-5121/lebanon-ancient-amber-cretaceous-dinosaurs-flowers,Sibelle Maksoud,Lebanese University
https://flowingdata.com/2024/06/25/changing-climate-zones-of-major-cities/,Derek Taylor,Pudding
https://www.npr.org/2024/07/19/nx-s1-5046378/soda-cans-explode-southwest-airlines-flights-extreme-heat,Chris Perry,Southwest Airlines
https://www.npr.org/2024/07/19/nx-s1-5046378/soda-cans-explode-southwest-airlines-flights-extreme-heat,Bill Bernal,TWU Local 556 (union representing Southwest flight attendants)
https://www.npr.org/2024/07/19/nx-s1-5046378/soda-cans-explode-southwest-airlines-flights-extreme-heat,Rachel Treisman,"NPR (author of the article, but not an expert in a specific field related to the story)"
https://www.npr.org/2024/07/05/g-s1-8493/up-first-newsletter-biden-harris-newsom-whitmer-2024-uk-labour,Alex Hager,KUNC in Colorado
https://www.npr.org/2024/07/05/g-s1-8493/up-first-newsletter-biden-harris-newsom-whitmer-2024-uk-labour,Cynthia Campbell,Phoenix water department
https://www.npr.org/2024/07/05/g-s1-8493/up-first-newsletter-biden-harris-newsom-whitmer-2024-uk-labour,John Burnett,NPR
https://www.npr.org/2024/07/05/g-s1-8493/up-first-newsletter-biden-harris-newsom-whitmer-2024-uk-labour,Lauren Frayer,NPR
https://www.npr.org/2024/07/05/g-s1-8493/up-first-newsletter-biden-harris-newsom-whitmer-2024-uk-labour,Ayesha Roscoe,NPR
https://www.npr.org/2024/07/05/g-s1-8493/up-first-newsletter-biden-harris-newsom-whitmer-2024-uk-labour,Holly Raschein,Monroe County
https://ca.news.yahoo.com/seasonal-allergies-seem-worse-experts-110000946.html,Matthew Corbett,Conservation Officer
https://news.slashdot.org/story/24/07/11/1831255/renewables-growth-rate-insufficient-to-reach-2030-target-says-irena,Geoffrey Landis,N/A
https://www.fastcompany.com/91146390/kenya-catastrophic-flooding-local-groups,,
https://www.theatlantic.com/technology/archive/2024/06/climate-change-trump-polarization-electric-vehicle/678837/?utm_source=feed,Marc Hetherington,No institution mentioned in the article
https://www.theatlantic.com/technology/archive/2024/06/climate-change-trump-polarization-electric-vehicle/678837/?utm_source=feed,Jonathan Weiler,No institution mentioned in the article
https://www.theatlantic.com/technology/archive/2024/06/climate-change-trump-polarization-electric-vehicle/678837/?utm_source=feed,Nick Loris,Conservative Coalition for Climate Solutions
https://www.theatlantic.com/technology/archive/2024/06/climate-change-trump-polarization-electric-vehicle/678837/?utm_source=feed,Keith Smith,ETH Zürich
https://www.theatlantic.com/technology/archive/2024/06/climate-change-trump-polarization-electric-vehicle/678837/?utm_source=feed,Megan Mullin,UCLA
https://www.npr.org/2024/07/09/nx-s1-5033210/hurricane-beryl-dangerous-floods-inland-midwest,Rebecca Hersher,NPR
https://www.npr.org/2024/07/09/nx-s1-5033210/hurricane-beryl-dangerous-floods-inland-midwest,Julia Simon,NPR
https://gizmodo.com/albuquerque-was-drought-proof-until-its-dam-started-leaking-2000377686,Ayurella Horn-Muller,Grist
https://gizmodo.com/albuquerque-was-drought-proof-until-its-dam-started-leaking-2000377686,Ed Cara,
https://gizmodo.com/albuquerque-was-drought-proof-until-its-dam-started-leaking-2000377686,Matthew Gault,
https://gizmodo.com/albuquerque-was-drought-proof-until-its-dam-started-leaking-2000377686,Joseph Winters,Grist
https://disconnect.blog/generative-ai-is-a-climate-disaster/,Paris Marx,Tech Critic
https://disconnect.blog/generative-ai-is-a-climate-disaster/,Sam Altman,OpenAI CEO
https://disconnect.blog/generative-ai-is-a-climate-disaster/,Brad Smith,Microsoft President
https://disconnect.blog/generative-ai-is-a-climate-disaster/,Elon Musk,Billionaire Philanthropist and Entrepreneur
https://disconnect.blog/generative-ai-is-a-climate-disaster/,Bill Gates,Billionaire Philanthropist
https://www.sciencedaily.com/releases/2024/07/240709121735.htm,Miguel D. Mahecha,German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig
https://www.sciencedaily.com/releases/2024/07/240710130836.htm,Researchers from the University of Massachusetts Amherst,University of Massachusetts Amherst
https://www.newscientist.com/article/2439335-melting-sea-ice-is-hindering-not-helping-canadian-arctic-shipping/,Alison Cook,Scottish Association for Marine Science
https://www.newscientist.com/article/2439335-melting-sea-ice-is-hindering-not-helping-canadian-arctic-shipping/,Amanda Lynch,Brown University in Rhode Island
https://www.newscientist.com/article/2439335-melting-sea-ice-is-hindering-not-helping-canadian-arctic-shipping/,James Dinneen,New Scientist
https://www.bbc.com/news/articles/c51yqvg0z04o,Arwyn Evans,Cynefin Group
https://www.bbc.com/news/articles/c51yqvg0z04o,Jeremy Miles,Welsh government (Energy Secretary)
https://www.bbc.com/news/articles/c51yqvg0z04o,Richard Evans,Trydan Gwyrdd Cymru
https://phys.org/news/2024-07-tree-reveal-north-atlantic-sea.html,No specific expert name listed,Chinese Academy of Sciences
https://www.sciencedaily.com/releases/2024/07/240711111528.htm,Douglas MacAyeal,University of Chicago
https://www.sciencedaily.com/releases/2024/07/240711111528.htm,John Moore,Arctic Center at the University of Lapland
